1 NR PCI,2 NR PCI,3 NR PCI,4 NR PCI,5 NR PCI,6 NR PCI,1 SS RSRP,2 SS RSRP,3 SS RSRP,4 SS RSRP,5 SS RSRP,6 SS RSRP,x,y
169.0,167.0,168.0,166.0,,,-80.74,-86.8,-127.3,-156.0,,,-0.3307433381086974,1.198062587685865
169.0,167.0,166.0,168.0,,,-80.26,-87.84,-123.7,-125.12,,,-0.3307433381086974,1.198062587685865
169.0,167.0,166.0,168.0,,,-80.26,-87.84,-123.7,-125.12,,,-0.3307433381086974,1.198062587685865
169.0,167.0,166.0,168.0,,,-80.26,-87.84,-123.7,-125.12,,,-0.3307433381086974,1.198062587685865
169.0,167.0,168.0,166.0,,,-78.69,-86.84,-156.0,-156.0,,,-0.3307433381086974,1.198062587685865
169.0,167.0,168.0,166.0,,,-78.69,-86.84,-156.0,-156.0,,,-0.3307433381086974,1.198062587685865
169.0,167.0,168.0,166.0,,,-80.66,-88.39,-156.0,-156.0,,,-0.3307433381086974,1.198062587685865
169.0,167.0,168.0,166.0,,,-80.66,-88.39,-156.0,-156.0,,,-0.3307433381086974,1.198062587685865
169.0,167.0,168.0,166.0,,,-80.66,-88.39,-156.0,-156.0,,,-0.3307433381086974,1.198062587685865
169.0,167.0,166.0,,,,-78.63,-83.7,-122.82,,,,-0.3307433381086974,1.198062587685865
169.0,167.0,166.0,,,,-78.63,-83.7,-122.82,,,,-0.3307433381086974,1.198062587685865
169.0,167.0,166.0,,,,-78.63,-83.7,-122.82,,,,-0.3307433381086974,1.198062587685865
169.0,167.0,190.0,166.0,,,-76.57,-84.06,-91.98,-156.0,,,-0.2859912172986369,1.465631129328121
169.0,167.0,190.0,166.0,,,-76.57,-84.06,-91.98,-156.0,,,-0.2859912172986369,1.465631129328121
169.0,167.0,166.0,190.0,,,-78.14,-86.13,-156.0,-156.0,,,-0.2859912172986369,1.465631129328121
169.0,167.0,166.0,190.0,,,-78.14,-86.13,-156.0,-156.0,,,-0.2859912172986369,1.465631129328121
169.0,167.0,166.0,190.0,,,-78.14,-86.13,-156.0,-156.0,,,-0.2859912172986369,1.465631129328121
169.0,167.0,166.0,190.0,,,-78.48,-84.53,-156.0,-156.0,,,-0.2859912172986369,1.465631129328121
169.0,167.0,166.0,190.0,,,-78.48,-84.53,-156.0,-156.0,,,-0.2859912172986369,1.465631129328121
169.0,167.0,166.0,190.0,,,-78.48,-84.53,-156.0,-156.0,,,-0.2859912172986369,1.465631129328121
169.0,167.0,166.0,,,,-78.91,-84.35,-156.0,,,,-0.2859912172986369,1.465631129328121
169.0,167.0,166.0,,,,-78.91,-84.35,-156.0,,,,-0.2859912172986369,1.465631129328121
169.0,167.0,166.0,,,,-82.95,-83.74,-90.91,,,,-0.2859912172986369,1.465631129328121
169.0,167.0,166.0,,,,-82.95,-83.74,-90.91,,,,-0.2859912172986369,1.465631129328121
169.0,167.0,166.0,,,,-82.95,-83.74,-90.91,,,,-0.2859912172986369,1.465631129328121
169.0,167.0,166.0,,,,-82.57,-85.84,-90.63,,,,-0.2859912172986369,1.465631129328121
169.0,167.0,166.0,,,,-82.57,-85.84,-90.63,,,,-0.2293292648664461,1.7121399899952958
169.0,167.0,166.0,,,,-81.66,-89.02,-123.08,,,,-0.2293292648664461,1.7121399899952958
169.0,167.0,166.0,,,,-81.66,-89.02,-123.08,,,,-0.2293292648664461,1.7121399899952958
169.0,167.0,166.0,,,,-81.66,-89.02,-123.08,,,,-0.2293292648664461,1.7121399899952958
169.0,167.0,166.0,168.0,,,-80.54,-88.0,-90.19,-156.0,,,-0.2293292648664461,1.7121399899952958
169.0,167.0,166.0,168.0,,,-80.54,-88.0,-90.19,-156.0,,,-0.2293292648664461,1.7121399899952958
169.0,167.0,166.0,168.0,,,-79.73,-83.77,-88.5,-156.0,,,-0.2293292648664461,1.7121399899952958
169.0,167.0,166.0,168.0,,,-79.73,-83.77,-88.5,-156.0,,,-0.2293292648664461,1.7121399899952958
169.0,167.0,166.0,168.0,,,-79.73,-83.77,-88.5,-156.0,,,-0.2293292648664461,1.7121399899952958
169.0,167.0,168.0,166.0,,,-78.84,-84.45,-94.63,-156.0,,,-0.2293292648664461,1.7121399899952958
169.0,167.0,168.0,166.0,,,-78.84,-84.45,-94.63,-156.0,,,-0.2293292648664461,1.7121399899952958
169.0,167.0,168.0,166.0,,,-78.84,-84.45,-94.63,-156.0,,,-0.2293292648664461,1.7121399899952958
