166,167,168,169,189,190,x,y
,-81.84,,-70.24,,,-0.0852314778831608,2.7905116369320626
,,,-70.64,,,-0.0852314778831608,2.7905116369320626
,,,-70.64,,,-0.0602890808226164,3.051124710113435
,,,-70.64,,,-0.0602890808226164,3.051124710113435
,,,-70.64,,,-0.0602890808226164,3.051124710113435
,,,-70.64,,,-0.0602890808226164,3.051124710113435
-119.27,,,-70.54,,,-0.0602890808226164,3.051124710113435
-119.27,,,-70.54,,,-0.0602890808226164,3.051124710113435
-119.27,,,-70.54,,,-0.0602890808226164,3.051124710113435
-119.27,,,-70.54,,,-0.0602890808226164,3.051124710113435
-119.27,,,-70.54,,,-0.0602890808226164,3.051124710113435
-81.73,,,-69.92,,,-0.0602890808226164,3.051124710113435
-81.73,,,-69.92,,,-0.0602890808226164,3.051124710113435
-81.73,,,-69.92,,,-0.0602890808226164,3.051124710113435
-86.2,,-86.85,-70.15,,,-0.0602890808226164,3.051124710113435
-86.2,,-86.85,-70.15,,,-0.0602890808226164,3.051124710113435
-86.2,,-86.85,-70.15,,,-0.0027051922506954,3.312020189426081
-86.2,,-86.85,-70.37,,,-0.0027051922506954,3.312020189426081
-86.2,,-86.85,-70.37,,,-0.0027051922506954,3.312020189426081
-86.2,,-86.85,-70.37,,,-0.0027051922506954,3.312020189426081
-92.36,,,-71.38,,,-0.0027051922506954,3.312020189426081
-92.36,,,-71.38,,,-0.0027051922506954,3.312020189426081
-92.36,,,-71.38,,,-0.0027051922506954,3.312020189426081
-92.36,,,-71.38,,,-0.0027051922506954,3.312020189426081
-85.67,-80.63,,-70.54,,,-0.0027051922506954,3.312020189426081
-85.67,-80.63,,-70.54,,,-0.0027051922506954,3.312020189426081
-85.67,-80.63,,-70.54,,,-0.0027051922506954,3.312020189426081
-82.01,-80.63,,-71.04,,,-0.0027051922506954,3.312020189426081
-82.01,-80.63,,-71.04,,,-0.0027051922506954,3.312020189426081
-82.01,-80.63,,-71.04,,,-0.0027051922506954,3.312020189426081
-85.19,,,-71.43,,,-0.0027051922506954,3.312020189426081
-85.19,,,-71.43,,,0.0410515340144689,3.566853846604043
-85.19,,,-71.43,,,0.0410515340144689,3.566853846604043
-88.04,,,-74.57,,,0.0410515340144689,3.566853846604043
-88.04,,,-74.57,,,0.0410515340144689,3.566853846604043
-88.04,,,-74.57,,,0.0410515340144689,3.566853846604043
-88.04,,,-74.57,,,0.0410515340144689,3.566853846604043
-85.79,,,-76.02,-82.65,,0.0410515340144689,3.566853846604043
-85.79,,,-76.02,-82.65,,0.0410515340144689,3.566853846604043
-85.79,,,-76.02,-82.65,,0.0410515340144689,3.566853846604043
-156.0,-81.8,,-73.0,-156.0,,0.0410515340144689,3.566853846604043
-156.0,-81.8,,-73.0,-156.0,,0.0410515340144689,3.566853846604043
-156.0,-81.8,,-73.0,-156.0,,0.0410515340144689,3.566853846604043
,-82.92,,-74.91,,,0.0410515340144689,3.566853846604043
,-82.92,,-74.91,,,0.0410515340144689,3.566853846604043
,-82.92,,-74.91,,,0.0410515340144689,3.566853846604043
-90.09,-82.92,,-73.67,,,0.0668639921221486,3.8332924133477713
-90.09,-82.92,,-73.67,,,0.0668639921221486,3.8332924133477713
-90.09,-82.92,,-73.67,,,0.0668639921221486,3.8332924133477713
-86.13,-156.0,,-72.41,,,0.0668639921221486,3.8332924133477713
-86.13,-156.0,,-72.41,,,0.0668639921221486,3.8332924133477713
-86.13,-156.0,,-72.41,,,0.0668639921221486,3.8332924133477713
-86.13,-156.0,,-72.41,,,0.0668639921221486,3.8332924133477713
